run_name,condition,seed,variant,checkpoint,loss,lm_loss,gate_rate,gate_prob_mean,memory_residual_scale,contrastive_loss,rt_gate_loss,blimp_accuracy,syntaxgym_accuracy,fillergap_accuracy,naturalstories_n,naturalstories_delta_r2_gate,naturalstories_delta_r2_gate_matched_surprisal,naturalstories_delta_r2_gate_flexible_surprisal,naturalstories_cv_by_story_delta_r2_gate,naturalstories_cv_by_story_delta_r2_gate_flexible_surprisal,naturalstories_gate_r2_from_basic_controls,naturalstories_gate_r2_from_matched_controls,naturalstories_gate_r2_from_flexible_controls,naturalstories_token_metrics
babylm_10m_v7_publishable_s23,main,23,punctuation_only,outputs/baselines/babylm_10m_v7_publishable_s23/punctuation_only/checkpoint-final,2.9947519302368164,2.9508109092712402,0.15430447459220886,0.15430447459220886,0.027487197890877724,0.5473185777664185,0.0,0.9348507462686567,0.8402777777777778,0.998125,2003,0.009199955787249747,0.00906019793694246,0.009476536815026138,0.0051584966603084315,0.006109333175337017,0.12319775853011128,0.12390045559130058,0.1349271375261205,outputs/baselines/babylm_10m_v7_publishable_s23/punctuation_only/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s23,main,23,random_matched,outputs/baselines/babylm_10m_v7_publishable_s23/random_matched/checkpoint-final,2.9790573120117188,2.9715988636016846,0.14919747412204742,0.14941634237766266,0.01870107650756836,0.09135492146015167,0.0,0.9325373134328359,0.8368055555555556,1.0,2003,0.0,0.0,0.0,-1.7763568394002505e-15,3.774758283725532e-15,0.0,0.0,0.0,outputs/baselines/babylm_10m_v7_publishable_s23/random_matched/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s29,main,29,anira_emergent,outputs/baselines/babylm_10m_v7_publishable_s29/anira_emergent/checkpoint-final,3.082791805267334,3.0818119049072266,0.14785991609096527,0.7367644906044006,0.07844260334968567,0.0030045388266444206,0.0,0.9280597014925374,0.8368055555555556,0.99625,2003,0.00021992373693902056,0.00022020352349227945,0.00037688348062669963,-0.0013295511479218813,-0.002016639162436107,0.03358508791147086,0.03371348563362142,0.05326843955337246,outputs/baselines/babylm_10m_v7_publishable_s29/anira_emergent/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s29,main,29,cheap_only,outputs/baselines/babylm_10m_v7_publishable_s29/cheap_only/checkpoint-final,3.059314250946045,3.0556559562683105,0.0,0.0,0.05000000074505806,0.040104832500219345,0.0,0.9326119402985075,0.8541666666666666,0.998125,2003,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,outputs/baselines/babylm_10m_v7_publishable_s29/cheap_only/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s29,main,29,dense_gru,outputs/baselines/babylm_10m_v7_publishable_s29/dense_gru/checkpoint-final,2.952594518661499,2.9521169662475586,0.0,0.0,0.05000000074505806,0.0003447642957326025,0.0,0.9357462686567164,0.8472222222222222,0.9975,2003,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,outputs/baselines/babylm_10m_v7_publishable_s29/dense_gru/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s29,main,29,etb,outputs/baselines/babylm_10m_v7_publishable_s29/etb/checkpoint-final,3.307373046875,3.2422990798950195,0.14785991609096527,0.31855952739715576,0.07337784767150879,0.08395548164844513,0.0,0.9245522388059702,0.7847222222222222,0.99625,2003,0.00431819431039826,0.004207780391254801,0.004681539317880734,0.001885213739337921,0.008755228681773364,0.09652945571864269,0.09681258428896344,0.19545639066739118,outputs/baselines/babylm_10m_v7_publishable_s29/etb/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s29,main,29,generic_dynamic,outputs/baselines/babylm_10m_v7_publishable_s29/generic_dynamic/checkpoint-final,3.0412750244140625,3.03737211227417,0.14785991609096527,0.5000892877578735,0.03538743034005165,0.042509425431489944,0.0,0.9355223880597014,0.8368055555555556,0.99625,2003,0.0019592747884507045,0.0019385834425337256,0.0029098045501531056,0.00023376798187646486,0.001511058825123035,0.25542947839430585,0.25550364428929395,0.27701407167320724,outputs/baselines/babylm_10m_v7_publishable_s29/generic_dynamic/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s29,main,29,punctuation_only,outputs/baselines/babylm_10m_v7_publishable_s29/punctuation_only/checkpoint-final,3.0820889472961426,3.0796308517456055,0.15466925501823425,0.15466925501823425,0.026586946099996567,0.02877705730497837,0.0,0.931865671641791,0.8125,0.99625,2003,0.010224314452781269,0.010123208128797967,0.010498187009300053,0.006751858851485104,0.009466674337938352,0.11932871371043918,0.11961883082643321,0.13291798085994644,outputs/baselines/babylm_10m_v7_publishable_s29/punctuation_only/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s29,main,29,random_matched,outputs/baselines/babylm_10m_v7_publishable_s29/random_matched/checkpoint-final,3.07590913772583,3.0727360248565674,0.15150777995586395,0.14941634237766266,0.025517765432596207,0.03778683766722679,0.0,0.9346268656716418,0.8333333333333334,0.9975,2003,1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16,1.1102230246251565e-15,9.992007221626409e-16,0.0,0.0,0.0,outputs/baselines/babylm_10m_v7_publishable_s29/random_matched/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s31,main,31,etb,outputs/baselines/babylm_10m_v7_publishable_s31/etb/checkpoint-final,3.114008903503418,3.0622689723968506,0.14785991609096527,0.30560168623924255,0.062184397131204605,0.003692963160574436,0.0,0.9297014925373134,0.7986111111111112,0.996875,2003,0.007899281087042631,0.007798411024068308,0.0079033080791171,0.010658430661386387,0.014127669488608774,0.0787876595677669,0.07900252167173472,0.18886635759202597,outputs/baselines/babylm_10m_v7_publishable_s31/etb/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s31,main,31,generic_dynamic,outputs/baselines/babylm_10m_v7_publishable_s31/generic_dynamic/checkpoint-final,2.8902587890625,2.889268398284912,0.14785991609096527,0.49846789240837097,0.017448419705033302,0.006123029626905918,0.0,0.9364179104477612,0.8229166666666666,0.998125,2003,0.0031966904531686158,0.003194274645330397,0.004022081359911667,0.002386015245840589,0.006779489259989169,0.26961923127872733,0.2696186053863727,0.2889003859383732,outputs/baselines/babylm_10m_v7_publishable_s31/generic_dynamic/eval/naturalstories_token_metrics.csv
babylm_10m_v7_publishable_s31,main,31,punctuation_only,outputs/baselines/babylm_10m_v7_publishable_s31/punctuation_only/checkpoint-final,2.876716136932373,2.8762924671173096,0.15722276270389557,0.15722276270389557,0.024297567084431648,0.0033085178583860397,0.0,0.9351492537313433,0.8125,0.998125,2003,0.009630167040107662,0.00957403603573026,0.009622365297255686,0.005775986424394697,0.006335509531126604,0.12184594448635055,0.12215029273249867,0.13206168321292255,outputs/baselines/babylm_10m_v7_publishable_s31/punctuation_only/eval/naturalstories_token_metrics.csv
